GexfID,Title,IMDB_id,ReleaseDate,Transitivity,Genre,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters
530,Man on the Moon,tt0125664,1999,0.271288621,['Biography'. 'Comedy'. 'Drama'],Man-on-the-Moon,7243.00,0.42,2164.00,4000.00,0.66,5000.00,0.07,309.00,72.00
531,Knight and Day,tt1013743,2010,0.475409836,['Action'. 'Adventure'. 'Comedy'],Knight-and-Day,8800.00,0.31,1924.00,3000.00,0.73,2000.00,0.18,174.00,30.00
532,The Man Who Knew Too Much,tt0049470,1956,0.275626424,['Drama'. 'Thriller'],The-Man-Who-Knew-Too-Much,10000.00,0.29,2078.00,5000.00,0.65,5000.00,0.11,322.00,43.00
533,The Man Who Wasn't There,tt0243133,2001,0.301821336,['Crime'. 'Drama'],The-Man-Who-Wasn't-There,7897.00,0.34,1920.00,3000.00,0.77,1000.00,0.15,165.00,36.00
534,The Manchurian Candidate,tt0056218,1962,0.449691992,['Drama'. 'Thriller'],The-Manchurian-Candidate,8136.00,0.38,1999.00,4000.00,0.69,5000.00,0.14,202.00,42.00
535,Manhunter,tt0091474,1986,0.254395036,['Crime'. 'Mystery'. 'Thriller'],Manhunter,5560.00,0.42,2685.00,6000.00,0.65,4000.00,0.08,175.00,49.00
536,Margot at the Wedding,tt0757361,2007,0.58974359,['Comedy'. 'Drama'],Margot-at-the-Wedding,20000.00,0.09,1525.00,2000.00,0.83,1000.00,0.48,221.00,15.00
537,Desperado,tt0112851,1995,0.338028169,['Action'. 'Crime'. 'Thriller'],Desperado,4769.00,0.24,1879.00,3000.00,0.36,2000.00,0.26,38.00,13.00
538,Marley & Me,tt0822832,2008,0.260869565,['Comedy'. 'Drama'. 'Family'],Marley-&-Me,9484.00,0.23,1887.00,3000.00,0.75,2000.00,0.14,186.00,26.00
539,Marty,tt0048356,1955,0.419354839,['Drama'. 'Romance'],Marty,8077.00,0.41,2120.00,4000.00,0.67,1000.00,0.18,132.00,25.00
541,The Mask,tt0110475,1994,0.389179405,['Action'. 'Comedy'. 'Crime'],The-Mask,8988.00,0.41,2177.00,4000.00,0.70,5000.00,0.09,282.00,55.00
542,The Matrix Reloaded,tt0234215,2003,0.574817518,['Action'. 'Sci-Fi'],The-Matrix-Reloaded,9871.00,0.42,2420.00,6000.00,0.56,4000.00,0.18,183.00,30.00
543,The Matrix,tt0133093,1999,0.479020979,['Action'. 'Sci-Fi'],The-Matrix,9833.00,0.27,2070.00,5000.00,0.61,4000.00,0.16,209.00,33.00
544,Max Payne,tt0467197,2008,0.514616935,['Action'. 'Adventure'. 'Crime'],Max-Payne,11420.00,0.35,1915.00,4000.00,0.79,5000.00,0.14,235.00,47.00
545,Meet Joe Black,tt0119643,1998,0.554621849,['Drama'. 'Fantasy'. 'Romance'],Meet-Joe-Black,13652.00,0.17,1827.00,3000.00,0.69,2000.00,0.27,220.00,23.00
547,Megamind,tt1001526,2010,0.432494279,['Animation'. 'Action'. 'Comedy'],Megamind,7667.00,0.32,2123.00,3000.00,0.70,2000.00,0.15,167.00,35.00
548,Memento,tt0209144,2000,0.214285714,['Mystery'. 'Thriller'],Memento,6267.00,0.20,1800.00,2000.00,0.50,1000.00,0.20,71.00,14.00
549,Men in Black,tt0119654,1997,0.337248322,['Action'. 'Adventure'. 'Comedy'],Men-in-Black,7576.00,0.31,2171.00,4000.00,0.61,2000.00,0.14,155.00,32.00
550,The Men Who Stare at Goats,tt1234548,2009,0.245540399,['Comedy'. 'War'],The-Men-Who-Stare-at-Goats,5760.00,0.42,2356.00,6000.00,0.62,4000.00,0.08,147.00,41.00
551,Subway,tt0090095,1985,0.192592593,['Thriller'],Subway,6276.00,0.41,2390.00,6000.00,0.59,4000.00,0.07,186.00,44.00
